,BICYCLE_IND,PEDESTRIAN_IND,ROAD_DESCRIPTION_AT INTERSECTION,ROAD_DESCRIPTION_PARKING LOT,LIGHT_CONDITION_DARK-LIGHTED,LIGHT_CONDITION_DAY LIGHT
26128,0.0,0.0,0.0,0.0,0.0,1.0
80098,0.0,0.0,1.0,0.0,0.0,1.0
68237,0.0,0.0,0.0,1.0,0.0,1.0
41501,0.0,0.0,1.0,0.0,0.0,1.0
68180,0.0,0.0,0.0,0.0,0.0,1.0
16381,0.0,0.0,0.0,0.0,0.0,1.0
155172,0.0,0.0,0.0,0.0,0.0,1.0
148101,0.0,0.0,0.0,0.0,0.0,1.0
87229,0.0,0.0,1.0,0.0,0.0,1.0
24523,0.0,0.0,1.0,0.0,0.0,1.0
77898,0.0,0.0,0.0,0.0,0.0,1.0
81248,0.0,0.0,1.0,0.0,1.0,0.0
118039,0.0,0.0,0.0,0.0,0.0,1.0
110000,0.0,0.0,1.0,0.0,1.0,0.0
19086,0.0,0.0,1.0,0.0,1.0,0.0
157649,0.0,0.0,1.0,0.0,0.0,1.0
78378,0.0,0.0,1.0,0.0,0.0,1.0
121477,0.0,0.0,0.0,0.0,0.0,1.0
36241,0.0,0.0,1.0,0.0,0.0,1.0
55421,0.0,0.0,0.0,0.0,1.0,0.0
93815,0.0,0.0,0.0,0.0,0.0,1.0
35644,0.0,0.0,0.0,0.0,0.0,1.0
117802,0.0,0.0,1.0,0.0,1.0,0.0
153617,0.0,0.0,0.0,1.0,1.0,0.0
30749,0.0,0.0,0.0,0.0,0.0,1.0
9117,0.0,0.0,0.0,0.0,1.0,0.0
21728,0.0,0.0,0.0,1.0,0.0,1.0
23426,0.0,0.0,0.0,0.0,1.0,0.0
107487,0.0,0.0,0.0,0.0,0.0,1.0
116581,0.0,0.0,0.0,1.0,0.0,1.0
87211,0.0,0.0,0.0,0.0,0.0,1.0
128152,0.0,0.0,1.0,0.0,1.0,0.0
137715,0.0,0.0,0.0,0.0,0.0,1.0
115000,0.0,0.0,0.0,0.0,0.0,1.0
16086,0.0,0.0,1.0,0.0,1.0,0.0
25485,0.0,0.0,0.0,0.0,1.0,0.0
149227,0.0,0.0,0.0,0.0,0.0,1.0
7321,0.0,0.0,0.0,0.0,0.0,1.0
157604,0.0,0.0,0.0,1.0,0.0,1.0
78532,0.0,0.0,1.0,0.0,0.0,1.0
80011,0.0,0.0,0.0,0.0,1.0,0.0
139988,0.0,0.0,0.0,0.0,0.0,1.0
117714,0.0,0.0,0.0,0.0,0.0,0.0
72791,0.0,0.0,0.0,0.0,1.0,0.0
37046,0.0,0.0,0.0,0.0,0.0,1.0
65820,0.0,0.0,0.0,0.0,0.0,1.0
70842,0.0,0.0,0.0,0.0,0.0,1.0
77188,0.0,0.0,0.0,0.0,0.0,1.0
54431,0.0,0.0,0.0,0.0,0.0,0.0
35370,0.0,0.0,0.0,0.0,0.0,1.0
81874,0.0,0.25,0.0,0.0,1.0,0.0
114282,0.0,0.0,1.0,0.0,0.0,1.0
124071,0.0,0.0,0.0,0.0,0.0,1.0
121349,0.0,0.0,0.0,0.0,1.0,0.0
79076,0.0,0.0,0.0,0.0,1.0,0.0
95384,0.0,0.0,0.0,1.0,0.0,1.0
134064,0.0,0.0,0.0,0.0,0.0,1.0
120206,0.0,0.0,0.0,0.0,0.0,1.0
79847,0.0,0.0,0.0,1.0,0.0,1.0
40563,0.0,0.0,0.0,0.0,0.0,1.0
25598,0.0,0.0,0.0,1.0,1.0,0.0
108794,0.0,0.0,0.0,1.0,0.0,1.0
146186,0.0,0.0,0.0,0.0,0.0,1.0
138475,0.0,0.0,0.0,0.0,0.0,1.0
23645,0.0,0.0,0.0,0.0,0.0,1.0
37017,0.0,0.0,1.0,0.0,0.0,1.0
25198,0.0,0.0,0.0,0.0,0.0,1.0
113104,0.0,0.0,0.0,0.0,0.0,1.0
45701,0.0,0.0,0.0,0.0,0.0,1.0
104870,0.0,0.0,0.0,0.0,1.0,0.0
91059,0.0,0.0,1.0,0.0,1.0,0.0
23708,0.0,0.0,1.0,0.0,0.0,1.0
86457,0.0,0.0,0.0,0.0,0.0,1.0
21045,0.0,0.0,0.0,0.0,0.0,1.0
56617,0.0,0.0,0.0,0.0,0.0,1.0
115022,0.0,0.0,1.0,0.0,1.0,0.0
7681,0.0,0.0,1.0,0.0,1.0,0.0
116903,0.0,0.0,0.0,1.0,0.0,1.0
49561,0.0,0.0,0.0,0.0,0.0,1.0
138105,0.0,0.0,0.0,0.0,1.0,0.0
23269,0.0,0.0,0.0,0.0,0.0,1.0
5493,0.0,0.0,0.0,0.0,0.0,1.0
40336,0.0,0.0,0.0,0.0,0.0,1.0
125867,0.0,0.0,0.0,0.0,1.0,0.0
40166,0.0,0.0,0.0,1.0,1.0,0.0
100134,0.0,0.0,0.0,0.0,0.0,1.0
24169,0.0,0.0,0.0,0.0,0.0,1.0
82769,0.0,0.0,0.0,0.0,0.0,0.0
8526,0.0,0.0,1.0,0.0,0.0,0.0
108912,0.0,0.0,0.0,0.0,0.0,1.0
114644,0.0,0.0,0.0,0.0,0.0,1.0
79165,0.0,0.0,0.0,0.0,0.0,0.0
129849,0.0,0.0,1.0,0.0,1.0,0.0
17519,0.0,0.0,0.0,0.0,0.0,1.0
38286,0.0,0.0,0.0,0.0,0.0,1.0
135974,0.0,0.0,0.0,0.0,0.0,1.0
88036,0.0,0.0,1.0,0.0,0.0,1.0
149264,0.0,0.0,0.0,0.0,0.0,1.0
14875,0.0,0.0,0.0,0.0,0.0,1.0
69735,0.0,0.0,0.0,0.0,0.0,1.0
65800,0.0,0.0,0.0,0.0,0.0,1.0
109719,0.0,0.0,0.0,0.0,0.0,1.0
98343,0.0,0.0,0.0,0.0,0.0,1.0
122347,0.0,0.0,0.0,0.0,0.0,1.0
106157,0.0,0.0,0.0,0.0,1.0,0.0
39964,0.0,0.0,0.0,1.0,1.0,0.0
2211,0.0,0.0,0.0,0.0,0.0,0.0
81742,0.0,0.0,0.0,0.0,0.0,1.0
53453,0.0,0.0,0.0,0.0,1.0,0.0
126106,0.0,0.0,0.0,1.0,0.0,0.0
15569,0.0,0.0,0.0,0.0,0.0,1.0
8322,0.0,0.0,0.0,0.0,0.0,0.0
150760,0.0,0.25,1.0,0.0,0.0,1.0
126878,0.0,0.0,0.0,0.0,0.0,1.0
101181,0.0,0.0,1.0,0.0,1.0,0.0
61033,0.0,0.0,1.0,0.0,0.0,0.0
95891,0.0,0.0,0.0,0.0,0.0,1.0
17755,0.0,0.0,0.0,0.0,0.0,1.0
97721,0.0,0.0,0.0,0.0,0.0,1.0
43286,0.0,0.0,1.0,0.0,0.0,1.0
115294,0.0,0.0,1.0,0.0,1.0,0.0
105117,0.0,0.0,1.0,0.0,0.0,1.0
38885,0.0,0.0,0.0,0.0,0.0,1.0
127958,0.0,0.0,0.0,0.0,0.0,1.0
33732,0.0,0.0,0.0,0.0,1.0,0.0
49745,0.0,0.0,0.0,0.0,0.0,1.0
124434,0.0,0.0,0.0,0.0,0.0,1.0
51926,0.0,0.0,1.0,0.0,0.0,1.0
112206,0.0,0.0,0.0,0.0,0.0,1.0
51811,0.0,0.0,0.0,0.0,0.0,1.0
69544,0.0,0.0,1.0,0.0,0.0,1.0
20154,0.0,0.0,1.0,0.0,0.0,1.0
127962,0.0,0.0,0.0,1.0,0.0,1.0
38431,0.0,0.0,0.0,0.0,1.0,0.0
54613,0.0,0.0,0.0,0.0,0.0,1.0
154832,0.0,0.0,0.0,0.0,1.0,0.0
154267,0.0,0.0,1.0,0.0,0.0,0.0
57603,0.0,0.0,0.0,0.0,0.0,1.0
122243,0.0,0.0,1.0,0.0,0.0,1.0
67738,0.0,0.0,0.0,0.0,1.0,0.0
6675,0.0,0.0,0.0,0.0,0.0,1.0
61939,0.0,0.0,0.0,0.0,0.0,1.0
130211,0.0,0.0,1.0,0.0,0.0,1.0
10114,0.0,0.0,0.0,0.0,1.0,0.0
52430,0.0,0.0,0.0,0.0,0.0,1.0
134660,0.0,0.0,0.0,0.0,0.0,1.0
83312,0.0,0.0,0.0,0.0,0.0,1.0
83863,0.0,0.0,1.0,0.0,1.0,0.0
48973,0.0,0.0,0.0,0.0,0.0,1.0
54670,0.0,0.0,0.0,0.0,0.0,1.0
72424,0.0,0.0,0.0,0.0,0.0,1.0
6441,0.0,0.0,1.0,0.0,1.0,0.0
159997,0.0,0.0,1.0,0.0,0.0,1.0
12792,0.0,0.0,1.0,0.0,1.0,0.0
70065,0.0,0.0,0.0,1.0,0.0,1.0
94834,0.0,0.0,0.0,0.0,0.0,1.0
126876,0.0,0.0,0.0,0.0,0.0,1.0
157336,0.0,0.0,0.0,0.0,1.0,0.0
66743,0.0,0.0,0.0,0.0,0.0,1.0
139448,0.0,0.0,1.0,0.0,0.0,1.0
120411,0.0,0.0,1.0,0.0,1.0,0.0
141315,0.0,0.0,0.0,0.0,0.0,1.0
137454,0.0,0.0,1.0,0.0,0.0,1.0
50248,0.0,0.0,0.0,0.0,0.0,1.0
153791,0.0,0.0,0.0,0.0,0.0,1.0
52533,0.0,0.0,1.0,0.0,1.0,0.0
96446,0.0,0.0,1.0,0.0,1.0,0.0
23880,0.0,0.0,0.0,0.0,0.0,1.0
57366,0.0,0.0,0.0,0.0,0.0,1.0
104429,0.0,0.0,1.0,0.0,0.0,1.0
38986,0.0,0.0,1.0,0.0,1.0,0.0
11247,0.0,0.0,0.0,0.0,1.0,0.0
65552,0.0,0.0,1.0,0.0,0.0,1.0
89652,0.0,0.0,0.0,0.0,0.0,1.0
42418,0.0,0.0,0.0,0.0,0.0,0.0
32365,0.0,0.0,0.0,0.0,1.0,0.0
113228,0.0,0.0,0.0,0.0,0.0,1.0
114718,0.0,0.25,0.0,0.0,0.0,1.0
126583,0.0,0.0,0.0,0.0,1.0,0.0
74072,0.0,0.0,0.0,0.0,1.0,0.0
4760,0.0,0.0,0.0,1.0,0.0,1.0
159099,0.0,0.0,0.0,0.0,0.0,1.0
121975,0.0,0.0,1.0,0.0,0.0,1.0
47850,0.0,0.0,0.0,0.0,0.0,1.0
114113,0.0,0.25,1.0,0.0,1.0,0.0
43298,0.0,0.0,1.0,0.0,0.0,1.0
64213,0.0,0.0,1.0,0.0,1.0,0.0
72365,0.0,0.0,1.0,0.0,1.0,0.0
43643,0.0,0.0,0.0,0.0,0.0,1.0
67865,0.25,0.0,1.0,0.0,0.0,1.0
60571,0.0,0.0,0.0,0.0,0.0,1.0
65111,0.0,0.0,0.0,0.0,0.0,1.0
10986,0.0,0.0,0.0,0.0,0.0,1.0
103242,0.0,0.0,0.0,0.0,0.0,1.0
89741,0.0,0.0,1.0,0.0,0.0,1.0
60176,0.0,0.0,1.0,0.0,1.0,0.0
93235,0.0,0.0,0.0,0.0,0.0,1.0
124975,0.0,0.0,0.0,0.0,1.0,0.0
30854,0.0,0.0,0.0,0.0,0.0,1.0
44150,0.0,0.0,0.0,0.0,1.0,0.0
151332,0.0,0.0,1.0,0.0,0.0,0.0
3570,0.0,0.0,0.0,0.0,0.0,1.0
7461,0.0,0.0,0.0,0.0,0.0,1.0
7222,0.0,0.0,1.0,0.0,1.0,0.0
76681,0.0,0.0,1.0,0.0,0.0,1.0
42683,0.0,0.0,0.0,0.0,0.0,1.0
85015,0.0,0.0,0.0,0.0,0.0,1.0
146332,0.0,0.0,0.0,0.0,1.0,0.0
16466,0.0,0.0,1.0,0.0,1.0,0.0
150461,0.0,0.0,1.0,0.0,1.0,0.0
48576,0.0,0.0,1.0,0.0,0.0,1.0
18215,0.0,0.0,0.0,0.0,0.0,1.0
103699,0.0,0.0,1.0,0.0,0.0,0.0
94490,0.0,0.0,0.0,0.0,0.0,0.0
118595,0.0,0.0,0.0,0.0,0.0,1.0
153228,0.0,0.0,0.0,0.0,0.0,1.0
74119,0.0,0.0,1.0,0.0,0.0,1.0
1536,0.0,0.0,1.0,0.0,0.0,1.0
35893,0.0,0.0,0.0,0.0,0.0,1.0
97845,0.0,0.0,0.0,0.0,0.0,1.0
100342,0.0,0.0,1.0,0.0,0.0,1.0
28630,0.0,0.0,1.0,0.0,0.0,1.0
98318,0.0,0.0,1.0,0.0,1.0,0.0
152256,0.0,0.0,0.0,1.0,0.0,1.0
41896,0.0,0.0,0.0,0.0,0.0,1.0
79228,0.0,0.0,1.0,0.0,1.0,0.0
150004,0.0,0.0,1.0,0.0,0.0,1.0
141328,0.0,0.0,0.0,0.0,0.0,1.0
150740,0.0,0.0,0.0,0.0,0.0,1.0
72514,0.0,0.0,0.0,0.0,1.0,0.0
27096,0.0,0.0,0.0,0.0,1.0,0.0
109678,0.0,0.0,0.0,0.0,0.0,1.0
23840,0.0,0.0,0.0,0.0,0.0,1.0
90905,0.0,0.0,0.0,0.0,1.0,0.0
101031,0.0,0.0,1.0,0.0,0.0,1.0
100972,0.0,0.0,0.0,1.0,1.0,0.0
88474,0.0,0.0,0.0,0.0,0.0,1.0
24694,0.0,0.0,0.0,0.0,0.0,1.0
68128,0.0,0.0,0.0,0.0,0.0,1.0
133104,0.0,0.0,1.0,0.0,0.0,1.0
15923,0.0,0.0,0.0,0.0,1.0,0.0
114800,0.0,0.0,0.0,0.0,0.0,1.0
104049,0.0,0.0,0.0,0.0,1.0,0.0
36358,0.0,0.0,1.0,0.0,0.0,1.0
74011,0.0,0.0,0.0,0.0,0.0,1.0
81232,0.0,0.0,0.0,0.0,0.0,0.0
108344,0.0,0.0,0.0,0.0,0.0,1.0
60694,0.0,0.0,0.0,0.0,0.0,0.0
153068,0.0,0.0,1.0,0.0,0.0,1.0
75645,0.0,0.0,0.0,0.0,1.0,0.0
79088,0.0,0.0,1.0,0.0,0.0,1.0
88570,0.0,0.0,1.0,0.0,0.0,1.0
2247,0.0,0.0,0.0,0.0,1.0,0.0
9629,0.0,0.0,0.0,0.0,0.0,0.0
142305,0.0,0.0,0.0,0.0,1.0,0.0
81226,0.0,0.0,1.0,0.0,0.0,1.0
28941,0.0,0.0,1.0,0.0,0.0,1.0
121924,0.0,0.0,0.0,0.0,0.0,1.0
54537,0.0,0.0,1.0,0.0,0.0,1.0
133246,0.0,0.0,0.0,0.0,1.0,0.0
107602,0.0,0.0,1.0,0.0,0.0,1.0
37144,0.0,0.0,1.0,0.0,0.0,1.0
147156,0.0,0.0,0.0,0.0,0.0,0.0
76370,0.0,0.0,0.0,1.0,0.0,1.0
39548,0.0,0.0,1.0,0.0,1.0,0.0
24263,0.0,0.0,0.0,1.0,1.0,0.0
123277,0.0,0.0,1.0,0.0,0.0,1.0
9906,0.0,0.0,1.0,0.0,1.0,0.0
99996,0.0,0.25,1.0,0.0,0.0,1.0
3443,0.0,0.0,1.0,0.0,0.0,1.0
53475,0.0,0.0,0.0,1.0,1.0,0.0
9605,0.0,0.0,1.0,0.0,0.0,1.0
30909,0.0,0.0,0.0,0.0,0.0,0.0
31797,0.0,0.0,0.0,0.0,0.0,1.0
75161,0.0,0.0,0.0,0.0,0.0,1.0
16157,0.0,0.0,0.0,0.0,0.0,1.0
102445,0.0,0.0,0.0,0.0,0.0,1.0
35631,0.0,0.0,0.0,0.0,0.0,1.0
68902,0.0,0.0,0.0,0.0,1.0,0.0
143375,0.0,0.0,0.0,0.0,0.0,1.0
61659,0.0,0.0,0.0,0.0,0.0,1.0
39448,0.0,0.0,0.0,0.0,1.0,0.0
113175,0.0,0.0,0.0,0.0,1.0,0.0
133714,0.0,0.0,1.0,0.0,0.0,1.0
69445,0.25,0.0,0.0,0.0,0.0,1.0
28237,0.0,0.0,0.0,0.0,1.0,0.0
70343,0.0,0.0,0.0,0.0,1.0,0.0
85682,0.0,0.0,1.0,0.0,1.0,0.0
99317,0.0,0.0,1.0,0.0,0.0,1.0
131539,0.0,0.0,0.0,0.0,0.0,1.0
137793,0.0,0.0,0.0,0.0,0.0,1.0
15896,0.0,0.0,0.0,0.0,0.0,1.0
140309,0.0,0.0,0.0,0.0,1.0,0.0
6425,0.25,0.0,1.0,0.0,0.0,1.0
146815,0.0,0.0,0.0,0.0,1.0,0.0
103815,0.0,0.0,0.0,0.0,0.0,1.0
82290,0.0,0.0,0.0,0.0,0.0,1.0
32630,0.0,0.0,0.0,0.0,1.0,0.0
6096,0.0,0.0,0.0,0.0,1.0,0.0
43031,0.0,0.0,0.0,0.0,0.0,1.0
22686,0.0,0.0,1.0,0.0,0.0,1.0
126581,0.0,0.25,1.0,0.0,0.0,1.0
18883,0.0,0.0,0.0,0.0,1.0,0.0
58710,0.0,0.0,0.0,0.0,0.0,1.0
21129,0.0,0.0,0.0,0.0,0.0,1.0
66157,0.0,0.0,0.0,0.0,0.0,1.0
83493,0.0,0.0,1.0,0.0,0.0,1.0
91291,0.0,0.0,0.0,0.0,1.0,0.0
78618,0.0,0.0,0.0,0.0,0.0,1.0
48729,0.0,0.0,0.0,0.0,0.0,0.0
6725,0.0,0.0,0.0,0.0,0.0,1.0
26595,0.0,0.0,1.0,0.0,0.0,1.0
15058,0.0,0.0,0.0,0.0,0.0,1.0
94370,0.0,0.0,0.0,0.0,1.0,0.0
54614,0.0,0.0,1.0,0.0,1.0,0.0
159828,0.0,0.0,0.0,1.0,0.0,1.0
67920,0.0,0.0,1.0,0.0,0.0,1.0
91084,0.0,0.0,0.0,0.0,0.0,1.0
120685,0.0,0.0,0.0,0.0,0.0,1.0
96127,0.0,0.0,1.0,0.0,0.0,1.0
66036,0.0,0.0,1.0,0.0,0.0,1.0
20920,0.0,0.0,1.0,0.0,1.0,0.0
144666,0.0,0.0,0.0,0.0,1.0,0.0
80282,0.0,0.0,0.0,0.0,0.0,1.0
132203,0.0,0.0,1.0,0.0,1.0,0.0
39927,0.0,0.0,1.0,0.0,1.0,0.0
107875,0.0,0.0,1.0,0.0,0.0,1.0
48187,0.0,0.0,1.0,0.0,0.0,1.0
60722,0.0,0.25,1.0,0.0,0.0,1.0
48908,0.0,0.0,0.0,0.0,0.0,1.0
54577,0.0,0.0,0.0,0.0,1.0,0.0
12914,0.0,0.0,0.0,0.0,0.0,1.0
22659,0.0,0.0,0.0,0.0,1.0,0.0
156123,0.0,0.0,0.0,0.0,0.0,1.0
158428,0.0,0.0,1.0,0.0,0.0,0.0
85073,0.0,0.0,0.0,0.0,0.0,1.0
